Day,State,Observation,Temperature,Humidity,WindSpeed
1,Cloudy,Travel,29,82,12
2,Rainy,Read,21,58,15
3,Cloudy,Read,18,79,7
4,Sunny,Read,16,63,16
5,Sunny,Shop,15,51,16
6,Rainy,Walk,24,67,20
7,Cloudy,Clean,26,42,9
8,Cloudy,Read,23,78,22
9,Rainy,Travel,28,89,13
10,Sunny,Read,16,59,19
11,Cloudy,Travel,22,86,7
12,Sunny,Walk,18,89,12
13,Sunny,Shop,18,68,22
14,Sunny,Travel,16,49,8
15,Sunny,Travel,22,60,20
16,Rainy,Shop,29,63,17
17,Rainy,Read,29,84,5
18,Rainy,Walk,15,83,12
19,Cloudy,Clean,33,56,12
20,Cloudy,Clean,15,44,14
21,Cloudy,Shop,23,67,11
22,Rainy,Travel,16,72,20
23,Cloudy,Read,17,83,12
24,Sunny,Clean,17,40,7
25,Rainy,Clean,15,44,18
26,Cloudy,Clean,23,54,19
27,Sunny,Shop,27,71,11
28,Rainy,Travel,18,69,9
29,Cloudy,Read,29,82,8
30,Rainy,Clean,33,61,6
31,Sunny,Read,20,67,16
32,Sunny,Clean,21,72,5
33,Rainy,Clean,34,52,13
34,Cloudy,Clean,23,76,5
35,Cloudy,Shop,26,63,19
36,Cloudy,Walk,34,88,21
37,Sunny,Travel,26,78,6
38,Cloudy,Walk,19,88,21
39,Cloudy,Walk,16,41,9
40,Rainy,Walk,33,41,16
41,Sunny,Travel,25,56,10
42,Rainy,Travel,16,45,15
43,Cloudy,Walk,23,45,20
44,Rainy,Clean,34,75,23
45,Sunny,Clean,33,59,11
46,Rainy,Walk,22,78,22
47,Rainy,Clean,32,62,14
48,Cloudy,Travel,30,65,20
49,Rainy,Travel,31,41,5
50,Sunny,Travel,19,76,13
51,Rainy,Clean,33,87,20
52,Cloudy,Travel,15,63,24
53,Cloudy,Walk,22,75,10
54,Sunny,Clean,30,64,7
55,Rainy,Read,32,85,22
56,Sunny,Clean,30,80,8
57,Rainy,Travel,15,53,20
58,Cloudy,Clean,31,72,20
59,Cloudy,Clean,28,69,10
60,Sunny,Read,33,47,6
61,Rainy,Walk,29,72,9
62,Rainy,Clean,18,74,21
63,Rainy,Travel,28,45,7
64,Rainy,Read,31,85,7
65,Rainy,Travel,15,42,22
66,Rainy,Shop,17,79,18
67,Sunny,Shop,24,41,21
68,Rainy,Walk,25,87,11
69,Rainy,Shop,17,89,17
70,Sunny,Walk,18,84,24
71,Rainy,Travel,33,62,19
72,Sunny,Shop,33,64,21
73,Sunny,Clean,19,72,12
74,Rainy,Travel,26,83,9
75,Cloudy,Travel,20,84,24
76,Sunny,Clean,22,55,17
77,Sunny,Travel,24,69,23
78,Rainy,Clean,19,65,13
79,Rainy,Walk,15,86,6
80,Sunny,Walk,22,84,5
81,Rainy,Read,17,51,20
82,Cloudy,Read,28,67,9
83,Cloudy,Walk,28,44,16
84,Sunny,Shop,30,60,11
85,Rainy,Read,24,44,8
86,Sunny,Travel,24,58,5
87,Rainy,Read,18,55,20
88,Cloudy,Shop,31,67,24
89,Sunny,Clean,15,72,23
90,Cloudy,Read,26,42,5
91,Rainy,Shop,25,83,17
92,Cloudy,Shop,33,89,7
93,Cloudy,Walk,22,68,14
94,Sunny,Shop,33,80,11
95,Sunny,Read,32,84,15
96,Rainy,Travel,18,49,9
97,Rainy,Clean,31,74,20
98,Sunny,Walk,21,71,9
99,Rainy,Read,17,80,21
100,Rainy,Travel,30,64,17
101,Cloudy,Clean,31,75,16
102,Rainy,Walk,33,51,13
103,Cloudy,Travel,28,70,24
104,Cloudy,Shop,29,55,9
105,Cloudy,Travel,34,60,8
106,Rainy,Walk,21,84,14
107,Sunny,Shop,19,74,15
108,Cloudy,Shop,29,51,13
109,Sunny,Shop,26,56,10
110,Cloudy,Read,22,81,13
111,Sunny,Clean,16,44,9
112,Sunny,Clean,22,87,17
113,Rainy,Travel,31,46,17
114,Sunny,Travel,33,83,11
115,Cloudy,Shop,33,78,7
116,Rainy,Read,32,67,24
117,Rainy,Walk,21,40,7
118,Rainy,Travel,31,64,5
119,Sunny,Read,20,83,17
120,Rainy,Read,29,60,20
121,Sunny,Read,25,76,8
122,Cloudy,Clean,34,57,19
123,Rainy,Walk,28,54,5
124,Rainy,Clean,30,62,15
125,Sunny,Travel,22,67,8
126,Sunny,Shop,32,67,9
127,Rainy,Travel,31,48,5
128,Rainy,Travel,27,67,20
129,Rainy,Read,28,74,10
130,Sunny,Clean,19,86,6
131,Sunny,Shop,27,44,5
132,Sunny,Walk,32,71,19
133,Rainy,Clean,31,52,5
134,Sunny,Walk,17,40,20
135,Cloudy,Travel,31,44,9
136,Sunny,Clean,19,76,14
137,Sunny,Clean,31,60,18
138,Rainy,Walk,33,84,17
139,Sunny,Walk,31,79,6
140,Cloudy,Shop,16,42,22
141,Rainy,Travel,19,69,21
142,Cloudy,Read,28,41,15
